City,Week ending,weekly_deaths ,Total deaths,Total_first_dose,Total_second_dose
London,15/03/2020,37,37,,
London,22/03/2020,235,272,,
London,29/03/2020,773,1045,,
London,05/04/2020,1326,2371,,
London,12/04/2020,1353,3728,,
London,19/04/2020,942,4670,,
London,26/04/2020,587,5257,,
London,03/05/2020,343,5603,,
London,10/05/2020,224,5827,,
London,17/05/2020,109,5936,,
London,24/05/2020,81,6017,,
London,31/05/2020,54,6071,,
London,07/06/2020,34,6105,,
London,14/06/2020,28,6133,,
London,21/06/2020,11,6144,,
London,28/06/2020,9,6153,,
London,05/07/2020,10,6163,,
London,12/07/2020,12,6175,,
London,19/07/2020,4,6179,,
London,26/07/2020,2,6181,,
London,02/08/2020,6,6187,,
London,09/08/2020,1,6188,,
London,16/08/2020,4,6192,,
London,23/08/2020,5,6197,,
London,30/08/2020,1,6198,,
London,06/09/2020,5,6203,,
London,13/09/2020,5,6208,,
London,20/09/2020,15,6223,,
London,27/09/2020,22,6245,,
London,04/10/2020,32,6277,,
London,11/10/2020,41,6318,,
London,18/10/2020,44,6362,,
London,25/10/2020,79,6441,,
London,01/11/2020,98,6539,,
London,08/11/2020,120,6659,,
London,15/11/2020,127,6786,,
London,22/11/2020,183,6969,,
London,29/11/2020,217,7186,,
London,06/12/2020,197,7383,,
London,13/12/2020,223,7606,6644,1182
London,20/12/2020,315,7921,62121,1214
London,27/12/2020,556,8477,87079,1243
London,03/01/2021,881,9358,129082,2397
London,10/01/2021,1229,10587,235063,46791
London,17/01/2021,1358,11945,423613,57074
London,24/01/2021,1244,13189,666783,59419
London,31/01/2021,839,14028,950958,61460
London,07/02/2021,594,14622,1201409,62951
London,14/02/2021,346,14968,1451108,64873
London,21/02/2021,266,15234,1730984,69009
London,28/02/2021,116,15350,2042856,83069
London,07/03/2021,90,15440,2274578,111890
London,14/03/2021,46,15486,2484166,152731
London,21/03/2021,28,15514,2828558,215861
London,28/03/2021,23,15537,3089706,346682
London,04/04/2021,14,15551,3201253,543555
London,11/04/2021,13,15564,3260075,776228
London,18/04/2021,8,15572,3357348,1045694
London,25/04/2021,9,15581,3466789,1303948
London,02/05/2021,10,15591,3581564,1532384
London,09/05/2021,7,15598,3705636,1782872
London,16/05/2021,5,15603,3886747,2032499
London,23/05/2021,3,15606,4097570,2300214
London,30/05/2021,7,15613,4329248,2558143
London,06/06/2021,6,15619,4540120,2795738
London,13/06/2021,9,15628,4760425,3024328
London,20/06/2021,11,15639,5010410,3221684
London,27/06/2021,11,15650,5227527,3401615
London,04/07/2021,16,15666,5364338,3577464
London,11/07/2021,13,15679,5455446,3743468
London,18/07/2021,23,15702,5517470,3932491
London,25/07/2021,48,15750,5561552,4128083
London,01/08/2021,62,15812,5599922,4313414
London,08/08/2021,66,15878,5635231,4487995
London,15/08/2021,74,15952,5672363,4671853
London,22/08/2021,87,16039,5718560,4846460
London,29/08/2021,87,16117,5760961,4989354
London,05/09/2021,81,16198,5792760,5097878
London,12/09/2021,82,16280,5816042,5182420
London,19/09/2021,65,16345,5838526,5246598
London,26/09/2021,69,16414,5862585,5295841
London,03/10/2021,89,16503,5888332,5332822
London,10/10/2021,65,16568,5921850,5365678
London,17/10/2021,54,16622,5965853,5397859
London,24/10/2021,64,16686,6011075,5427616
London,31/10/2021,83,16769,6048395,5454998
London,07/11/2021,87,16856,6086328,5480257
London,14/11/2021,83,16939,6115638,5507155
London,21/11/2021,53,16992,6141274,5532603
London,28/11/2021,72,17064,6164610,5564083
London,05/12/2021,76,17126,6190110,5599513
London,12/12/2021,48,17188,6213113,5630013
