areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
region,London,E12000007,2021-12-07,4,17136
region,London,E12000007,2021-12-06,6,17132
region,London,E12000007,2021-12-05,10,17126
region,London,E12000007,2021-12-04,6,17116
region,London,E12000007,2021-12-03,10,17110
region,London,E12000007,2021-12-02,7,17100
region,London,E12000007,2021-12-01,8,17093
region,London,E12000007,2021-11-30,13,17085
region,London,E12000007,2021-11-29,8,17072
region,London,E12000007,2021-11-28,12,17064
region,London,E12000007,2021-11-27,7,17052
region,London,E12000007,2021-11-26,9,17045
region,London,E12000007,2021-11-25,10,17036
region,London,E12000007,2021-11-24,17,17026
region,London,E12000007,2021-11-23,11,17009
region,London,E12000007,2021-11-22,6,16998
region,London,E12000007,2021-11-21,7,16992
region,London,E12000007,2021-11-20,8,16985
region,London,E12000007,2021-11-19,8,16977
region,London,E12000007,2021-11-18,6,16969
region,London,E12000007,2021-11-17,5,16963
region,London,E12000007,2021-11-16,8,16958
region,London,E12000007,2021-11-15,11,16950
region,London,E12000007,2021-11-14,10,16939
region,London,E12000007,2021-11-13,14,16929
region,London,E12000007,2021-11-12,8,16915
region,London,E12000007,2021-11-11,13,16907
region,London,E12000007,2021-11-10,14,16894
region,London,E12000007,2021-11-09,10,16880
region,London,E12000007,2021-11-08,14,16870
region,London,E12000007,2021-11-07,10,16856
region,London,E12000007,2021-11-06,15,16846
region,London,E12000007,2021-11-05,14,16831
region,London,E12000007,2021-11-04,12,16817
region,London,E12000007,2021-11-03,10,16805
region,London,E12000007,2021-11-02,15,16795
region,London,E12000007,2021-11-01,11,16780
region,London,E12000007,2021-10-31,12,16769
region,London,E12000007,2021-10-30,10,16757
region,London,E12000007,2021-10-29,11,16747
region,London,E12000007,2021-10-28,11,16736
region,London,E12000007,2021-10-27,17,16725
region,London,E12000007,2021-10-26,10,16708
region,London,E12000007,2021-10-25,12,16698
region,London,E12000007,2021-10-24,10,16686
region,London,E12000007,2021-10-23,7,16676
region,London,E12000007,2021-10-22,12,16669
region,London,E12000007,2021-10-21,9,16657
region,London,E12000007,2021-10-20,7,16648
region,London,E12000007,2021-10-19,9,16641
region,London,E12000007,2021-10-18,10,16632
region,London,E12000007,2021-10-17,12,16622
region,London,E12000007,2021-10-16,7,16610
region,London,E12000007,2021-10-15,5,16603
region,London,E12000007,2021-10-14,12,16598
region,London,E12000007,2021-10-13,6,16586
region,London,E12000007,2021-10-12,4,16580
region,London,E12000007,2021-10-11,8,16576
region,London,E12000007,2021-10-10,8,16568
region,London,E12000007,2021-10-09,11,16560
region,London,E12000007,2021-10-08,10,16549
region,London,E12000007,2021-10-07,6,16539
region,London,E12000007,2021-10-06,10,16533
region,London,E12000007,2021-10-05,11,16523
region,London,E12000007,2021-10-04,9,16512
region,London,E12000007,2021-10-03,6,16503
region,London,E12000007,2021-10-02,12,16497
region,London,E12000007,2021-10-01,16,16485
region,London,E12000007,2021-09-30,13,16469
region,London,E12000007,2021-09-29,13,16456
region,London,E12000007,2021-09-28,13,16443
region,London,E12000007,2021-09-27,16,16430
region,London,E12000007,2021-09-26,6,16414
region,London,E12000007,2021-09-25,10,16408
region,London,E12000007,2021-09-24,13,16398
region,London,E12000007,2021-09-23,14,16385
region,London,E12000007,2021-09-22,11,16371
region,London,E12000007,2021-09-21,8,16360
region,London,E12000007,2021-09-20,7,16352
region,London,E12000007,2021-09-19,9,16345
region,London,E12000007,2021-09-18,11,16336
region,London,E12000007,2021-09-17,8,16325
region,London,E12000007,2021-09-16,10,16317
region,London,E12000007,2021-09-15,11,16307
region,London,E12000007,2021-09-14,12,16296
region,London,E12000007,2021-09-13,4,16284
