areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedThirdInjectionByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
region,London,E12000007,2021-12-07,2628,6195542,3846,5607073,33769,2067503
region,London,E12000007,2021-12-06,2804,6192914,3714,5603227,32958,2033734
region,London,E12000007,2021-12-05,2403,6190110,3158,5599513,24646,2000776
region,London,E12000007,2021-12-04,5029,6187707,6995,5596355,48700,1976130
region,London,E12000007,2021-12-03,4137,6182678,5183,5589360,40231,1927430
region,London,E12000007,2021-12-02,3686,6178541,4711,5584177,38429,1887199
region,London,E12000007,2021-12-01,3392,6174855,5361,5579466,38386,1848770
region,London,E12000007,2021-11-30,3888,6171463,5274,5574105,36020,1810384
region,London,E12000007,2021-11-29,2965,6167575,4748,5568831,28846,1774364
region,London,E12000007,2021-11-28,2459,6164610,4191,5564083,21839,1745518
region,London,E12000007,2021-11-27,4211,6162151,6637,5559892,46727,1723679
region,London,E12000007,2021-11-26,3580,6157940,4936,5553255,36863,1676952
region,London,E12000007,2021-11-25,3339,6154360,4158,5548319,34735,1640089
region,London,E12000007,2021-11-24,3135,6151021,4138,5544161,36353,1605354
region,London,E12000007,2021-11-23,3324,6147886,3966,5540023,31069,1569001
region,London,E12000007,2021-11-22,3288,6144562,3454,5536057,27654,1537932
region,London,E12000007,2021-11-21,1686,6141274,1874,5532603,16748,1510278
region,London,E12000007,2021-11-20,4270,6139588,5039,5530729,42371,1493530
region,London,E12000007,2021-11-19,4308,6135318,4233,5525690,35885,1451159
region,London,E12000007,2021-11-18,3634,6131010,3446,5521457,33657,1415274
region,London,E12000007,2021-11-17,3367,6127376,3815,5518011,34010,1381617
region,London,E12000007,2021-11-16,4051,6124009,3404,5514196,28822,1347607
region,London,E12000007,2021-11-15,4320,6119958,3637,5510792,26754,1318785
region,London,E12000007,2021-11-14,1605,6115638,1976,5507155,17684,1292031
region,London,E12000007,2021-11-13,4737,6114033,5448,5505179,45560,1274347
region,London,E12000007,2021-11-12,5198,6109296,4179,5499731,33378,1228787
region,London,E12000007,2021-11-11,4047,6104098,3836,5495552,35305,1195409
region,London,E12000007,2021-11-10,4132,6100051,3895,5491716,33300,1160104
region,London,E12000007,2021-11-09,4934,6095919,3616,5487821,28712,1126804
region,London,E12000007,2021-11-08,4657,6090985,3948,5484205,24119,1098092
region,London,E12000007,2021-11-07,2248,6086328,1944,5480257,13351,1073973
region,London,E12000007,2021-11-06,5085,6084080,5044,5478313,36483,1060622
region,London,E12000007,2021-11-05,6333,6078995,4052,5473269,29554,1024139
region,London,E12000007,2021-11-04,5796,6072662,3367,5469217,28088,994585
region,London,E12000007,2021-11-03,5763,6066866,3860,5465850,30203,966497
region,London,E12000007,2021-11-02,6062,6061103,3405,5461990,26262,936294
region,London,E12000007,2021-11-01,6646,6055041,3587,5458585,23600,910032
region,London,E12000007,2021-10-31,2676,6048395,1739,5454998,12579,886432
region,London,E12000007,2021-10-30,5289,6045719,5282,5453259,37490,873853
region,London,E12000007,2021-10-29,5999,6040430,3956,5447977,27318,836363
region,London,E12000007,2021-10-28,6280,6034431,4014,5444021,33064,809045
region,London,E12000007,2021-10-27,6461,6028151,4223,5440007,30152,775981
region,London,E12000007,2021-10-26,5646,6021690,3964,5435784,25631,745829
region,London,E12000007,2021-10-25,4969,6016044,4204,5431820,24069,720198
region,London,E12000007,2021-10-24,2677,6011075,2196,5427616,14388,696129
region,London,E12000007,2021-10-23,5082,6008398,6386,5425420,39174,681741
region,London,E12000007,2021-10-22,7590,6003316,4404,5419034,32671,642567
region,London,E12000007,2021-10-21,6169,5995726,3957,5414630,33136,609896
region,London,E12000007,2021-10-20,8965,5989557,4325,5410673,27727,576760
region,London,E12000007,2021-10-19,7242,5980592,4265,5406348,22547,549033
region,London,E12000007,2021-10-18,7497,5973350,4224,5402083,17866,526486
region,London,E12000007,2021-10-17,1507,5965853,2348,5397859,10941,508620
region,London,E12000007,2021-10-16,3952,5964346,6730,5395511,32626,497679
region,London,E12000007,2021-10-15,8184,5960394,5044,5388781,25623,465053
region,London,E12000007,2021-10-14,8041,5952210,4352,5383737,27469,439430
region,London,E12000007,2021-10-13,9067,5944169,4559,5379385,27673,411961
region,London,E12000007,2021-10-12,7125,5935102,4287,5374826,20744,384288
region,London,E12000007,2021-10-11,6127,5927977,4861,5370539,17656,363544
region,London,E12000007,2021-10-10,1569,5921850,2720,5365678,10668,345888
region,London,E12000007,2021-10-09,4065,5920281,6559,5362958,29853,335220
region,London,E12000007,2021-10-08,6193,5916216,5304,5356399,27064,305367
region,London,E12000007,2021-10-07,5399,5910023,4416,5351095,25945,278303
region,London,E12000007,2021-10-06,6020,5904624,4650,5346679,24104,252358
region,London,E12000007,2021-10-05,5489,5898604,4500,5342029,18255,228254
region,London,E12000007,2021-10-04,4783,5893115,4707,5337529,17485,209999
region,London,E12000007,2021-10-03,1720,5888332,2808,5332822,7951,192514
region,London,E12000007,2021-10-02,3754,5886612,6797,5330014,21181,184563
region,London,E12000007,2021-10-01,4610,5882858,5378,5323217,24177,163382
region,London,E12000007,2021-09-30,4155,5878248,5278,5317839,23203,139205
region,London,E12000007,2021-09-29,4128,5874093,5389,5312561,20997,116002
region,London,E12000007,2021-09-28,3836,5869965,5298,5307172,15797,95005
region,London,E12000007,2021-09-27,3544,5866129,6033,5301874,13501,79208
region,London,E12000007,2021-09-26,1503,5862585,3264,5295841,5358,65707
region,London,E12000007,2021-09-25,3763,5861082,8872,5292577,15539,60349
region,London,E12000007,2021-09-24,3920,5857319,6803,5283705,12914,44810
region,London,E12000007,2021-09-23,4231,5853399,7376,5276902,11215,31896
region,London,E12000007,2021-09-22,3664,5849168,7278,5269526,7623,20681
region,London,E12000007,2021-09-21,3501,5845504,7120,5262248,4532,13058
region,London,E12000007,2021-09-20,3477,5842003,8530,5255128,1486,8526
region,London,E12000007,2021-09-19,1846,5838526,4616,5246598,360,7040
region,London,E12000007,2021-09-18,4267,5836680,11275,5241982,1746,6680
region,London,E12000007,2021-09-17,3488,5832413,9854,5230707,1182,4934
region,London,E12000007,2021-09-16,3228,5828925,9376,5220853,512,3752
region,London,E12000007,2021-09-15,3311,5825697,9284,5211477,646,3240
region,London,E12000007,2021-09-14,3157,5822386,9347,5202193,87,2594
region,London,E12000007,2021-09-13,3187,5819229,10426,5192846,8,2507
region,London,E12000007,2021-09-12,1844,5816042,5942,5182420,26,2499
region,London,E12000007,2021-09-11,4260,5814198,14134,5176478,371,2473
region,London,E12000007,2021-09-10,3547,5809938,12245,5162344,11,2102
region,London,E12000007,2021-09-09,3518,5806391,12935,5150099,17,2091
region,London,E12000007,2021-09-08,3286,5802873,12079,5137164,10,2074
region,London,E12000007,2021-09-07,3305,5799587,12787,5125085,6,2064
region,London,E12000007,2021-09-06,3522,5796282,14420,5112298,10,2058
region,London,E12000007,2021-09-05,2397,5792760,9658,5097878,9,2048
region,London,E12000007,2021-09-04,5421,5790363,19152,5088220,18,2039
region,London,E12000007,2021-09-03,4839,5784942,16462,5069068,16,2021
region,London,E12000007,2021-09-02,5239,5780103,17001,5052606,11,2005
region,London,E12000007,2021-09-01,5411,5774864,16657,5035605,7,1994
region,London,E12000007,2021-08-31,5828,5769453,19101,5018948,8,1987
region,London,E12000007,2021-08-30,2664,5763625,10493,4999847,4,1979
region,London,E12000007,2021-08-29,3186,5760961,11605,4989354,7,1975
region,London,E12000007,2021-08-28,5753,5757775,20469,4977749,9,1968
region,London,E12000007,2021-08-27,6039,5752022,20509,4957280,11,1959
region,London,E12000007,2021-08-26,7073,5745983,22798,4936771,10,1948
region,London,E12000007,2021-08-25,6794,5738910,22079,4913973,12,1938
region,London,E12000007,2021-08-24,6844,5732116,21735,4891894,11,1926
region,London,E12000007,2021-08-23,6712,5725272,23699,4870159,16,1915
region,London,E12000007,2021-08-22,5401,5718560,17482,4846460,9,1899
region,London,E12000007,2021-08-21,8695,5713159,28277,4828978,18,1890
region,London,E12000007,2021-08-20,8260,5704464,25983,4800701,15,1872
region,London,E12000007,2021-08-19,6716,5696204,27009,4774718,14,1857
region,London,E12000007,2021-08-18,5397,5689488,24884,4747709,13,1843
region,London,E12000007,2021-08-17,5846,5684091,24581,4722825,11,1830
region,London,E12000007,2021-08-16,5882,5678245,26391,4698244,13,1819
region,London,E12000007,2021-08-15,3849,5672363,19940,4671853,24,1806
region,London,E12000007,2021-08-14,6596,5668514,32047,4651913,12,1782
region,London,E12000007,2021-08-13,5613,5661918,26914,4619866,12,1770
region,London,E12000007,2021-08-12,5459,5656305,29642,4592952,15,1758
region,London,E12000007,2021-08-11,5214,5650846,24920,4563310,11,1743
region,London,E12000007,2021-08-10,5569,5645632,25081,4538390,8,1732
region,London,E12000007,2021-08-09,4832,5640063,25314,4513309,8,1724
region,London,E12000007,2021-08-08,3655,5635231,19747,4487995,33,1716
region,London,E12000007,2021-08-07,6571,5631576,33079,4468248,17,1683
region,London,E12000007,2021-08-06,5167,5625005,26059,4435169,7,1666
region,London,E12000007,2021-08-05,5424,5619838,28080,4409110,18,1659
region,London,E12000007,2021-08-04,4705,5614414,21904,4381030,7,1641
region,London,E12000007,2021-08-03,5193,5609709,23006,4359126,8,1634
region,London,E12000007,2021-08-02,4594,5604516,22706,4336120,7,1626
region,London,E12000007,2021-08-01,3894,5599922,21208,4313414,6,1619
region,London,E12000007,2021-07-31,6434,5596028,33183,4292206,20,1613
region,London,E12000007,2021-07-30,5271,5589594,26796,4259023,10,1593
region,London,E12000007,2021-07-29,5834,5584323,28643,4232227,7,1583
region,London,E12000007,2021-07-28,5731,5578489,25171,4203584,13,1576
region,London,E12000007,2021-07-27,5915,5572758,25126,4178413,12,1563
region,London,E12000007,2021-07-26,5291,5566843,25204,4153287,15,1551
region,London,E12000007,2021-07-25,4025,5561552,21207,4128083,11,1536
region,London,E12000007,2021-07-24,7330,5557527,36564,4106876,18,1525
region,London,E12000007,2021-07-23,6622,5550197,31195,4070312,24,1507
region,London,E12000007,2021-07-22,6729,5543575,32260,4039117,14,1483
region,London,E12000007,2021-07-21,6947,5536846,28943,4006857,23,1469
region,London,E12000007,2021-07-20,6274,5529899,23105,3977914,13,1446
region,London,E12000007,2021-07-19,6155,5523625,22318,3954809,12,1433
region,London,E12000007,2021-07-18,5240,5517470,23940,3932491,8,1421
region,London,E12000007,2021-07-17,10664,5512230,35949,3908551,24,1413
region,London,E12000007,2021-07-16,8983,5501566,29957,3872602,19,1389
region,London,E12000007,2021-07-15,9975,5492583,29677,3842645,13,1370
region,London,E12000007,2021-07-14,9300,5482608,29303,3812968,10,1357
region,London,E12000007,2021-07-13,9255,5473308,21545,3783665,10,1347
region,London,E12000007,2021-07-12,8607,5464053,18652,3762120,9,1337
region,London,E12000007,2021-07-11,6699,5455446,14805,3743468,10,1328
region,London,E12000007,2021-07-10,15468,5448747,30895,3728663,18,1318
region,London,E12000007,2021-07-09,15278,5433279,27062,3697768,11,1300
region,London,E12000007,2021-07-08,16097,5418001,24923,3670706,22,1289
region,London,E12000007,2021-07-07,13082,5401904,26694,3645783,16,1267
region,London,E12000007,2021-07-06,11186,5388822,20323,3619089,16,1251
region,London,E12000007,2021-07-05,13298,5377636,21302,3598766,15,1235
region,London,E12000007,2021-07-04,13231,5364338,16605,3577464,9,1220
region,London,E12000007,2021-07-03,21559,5351107,29083,3560859,20,1211
region,London,E12000007,2021-07-02,18691,5329548,26479,3531776,13,1191
region,London,E12000007,2021-07-01,20361,5310857,28269,3505297,10,1178
region,London,E12000007,2021-06-30,21165,5290496,30984,3477028,14,1168
region,London,E12000007,2021-06-29,20778,5269331,22840,3446044,15,1154
region,London,E12000007,2021-06-28,21026,5248553,21589,3423204,16,1139
region,London,E12000007,2021-06-27,24676,5227527,21672,3401615,9,1123
region,London,E12000007,2021-06-26,39485,5202851,32230,3379943,14,1114
region,London,E12000007,2021-06-25,33611,5163366,30264,3347713,17,1100
region,London,E12000007,2021-06-24,36412,5129755,26970,3317449,20,1083
region,London,E12000007,2021-06-23,30884,5093343,25407,3290479,11,1063
region,London,E12000007,2021-06-22,29525,5062459,23616,3265072,10,1052
region,London,E12000007,2021-06-21,22524,5032934,19772,3241456,10,1042
region,London,E12000007,2021-06-20,33460,5010410,16108,3221684,8,1032
region,London,E12000007,2021-06-19,54164,4976950,32244,3205576,23,1024
region,London,E12000007,2021-06-18,39409,4922786,31744,3173332,16,1001
region,London,E12000007,2021-06-17,38634,4883377,30838,3141588,19,985
region,London,E12000007,2021-06-16,32752,4844743,30300,3110750,13,966
region,London,E12000007,2021-06-15,29578,4811991,27745,3080450,9,953
region,London,E12000007,2021-06-14,21988,4782413,28377,3052705,7,944
region,London,E12000007,2021-06-13,29221,4760425,19556,3024328,8,937
region,London,E12000007,2021-06-12,46449,4731204,33635,3004772,19,929
region,London,E12000007,2021-06-11,37721,4684755,36081,2971137,18,910
region,London,E12000007,2021-06-10,36316,4647034,35914,2935056,22,892
region,London,E12000007,2021-06-09,29597,4610718,36024,2899142,13,870
region,London,E12000007,2021-06-08,22070,4581121,33571,2863118,10,857
region,London,E12000007,2021-06-07,18931,4559051,33809,2829547,8,847
region,London,E12000007,2021-06-06,28934,4540120,24336,2795738,6,839
region,London,E12000007,2021-06-05,39051,4511186,43747,2771402,9,833
region,London,E12000007,2021-06-04,33645,4472135,38770,2727655,12,824
region,London,E12000007,2021-06-03,34347,4438490,38638,2688885,16,812
region,London,E12000007,2021-06-02,28771,4404143,35678,2650247,11,796
region,London,E12000007,2021-06-01,21307,4375372,33815,2614569,6,785
region,London,E12000007,2021-05-31,24817,4354065,22611,2580754,8,779
region,London,E12000007,2021-05-30,24298,4329248,17426,2558143,6,771
region,London,E12000007,2021-05-29,36738,4304950,37439,2540717,12,765
region,London,E12000007,2021-05-28,38290,4268212,44136,2503278,16,753
region,London,E12000007,2021-05-27,46650,4229922,45141,2459142,14,737
region,London,E12000007,2021-05-26,36819,4183272,40758,2414001,13,723
region,London,E12000007,2021-05-25,29516,4146453,38345,2373243,11,710
region,London,E12000007,2021-05-24,19367,4116937,34684,2334898,7,699
region,London,E12000007,2021-05-23,22500,4097570,27188,2300214,14,692
region,London,E12000007,2021-05-22,36208,4075070,49944,2273026,9,678
region,London,E12000007,2021-05-21,35165,4038862,47471,2223082,11,669
region,London,E12000007,2021-05-20,38402,4003697,43511,2175611,9,658
region,London,E12000007,2021-05-19,36457,3965295,38206,2132100,15,649
region,London,E12000007,2021-05-18,24109,3928838,33385,2093894,10,634
region,London,E12000007,2021-05-17,17982,3904729,28010,2060509,12,624
region,London,E12000007,2021-05-16,20087,3886747,21708,2032499,5,612
region,London,E12000007,2021-05-15,35226,3866660,37302,2010791,9,607
region,London,E12000007,2021-05-14,35823,3831434,43443,1973489,16,598
region,London,E12000007,2021-05-13,31347,3795611,39085,1930046,11,582
region,London,E12000007,2021-05-12,24830,3764264,41529,1890961,8,571
region,London,E12000007,2021-05-11,19968,3739434,41681,1849432,11,563
region,London,E12000007,2021-05-10,13830,3719466,24879,1807751,8,552
region,London,E12000007,2021-05-09,10861,3705636,24565,1782872,3,544
region,London,E12000007,2021-05-08,20928,3694775,48015,1758307,10,541
region,London,E12000007,2021-05-07,21221,3673847,52435,1710292,14,531
region,London,E12000007,2021-05-06,22020,3652626,51648,1657857,14,517
region,London,E12000007,2021-05-05,21419,3630606,38825,1606209,14,503
region,London,E12000007,2021-05-04,18478,3609187,26678,1567384,14,489
region,London,E12000007,2021-05-03,9145,3590709,8322,1540706,2,475
region,London,E12000007,2021-05-02,10523,3581564,12907,1532384,4,473
region,London,E12000007,2021-05-01,19593,3571041,31165,1519477,4,469
region,London,E12000007,2021-04-30,18792,3551448,38861,1488312,10,465
region,London,E12000007,2021-04-29,20530,3532656,42405,1449451,22,455
region,London,E12000007,2021-04-28,20436,3512126,40730,1407046,15,433
region,London,E12000007,2021-04-27,14516,3491690,37442,1366316,9,418
region,London,E12000007,2021-04-26,10385,3477174,24926,1328874,5,409
region,London,E12000007,2021-04-25,7060,3466789,22661,1303948,7,404
region,London,E12000007,2021-04-24,17540,3459729,39860,1281287,15,397
region,London,E12000007,2021-04-23,16576,3442189,46486,1241427,20,382
region,London,E12000007,2021-04-22,17910,3425613,42790,1194941,9,362
region,London,E12000007,2021-04-21,19542,3407703,44663,1152151,15,353
region,London,E12000007,2021-04-20,15939,3388161,33336,1107488,6,338
region,London,E12000007,2021-04-19,14874,3372222,28458,1074152,7,332
region,London,E12000007,2021-04-18,11518,3357348,25594,1045694,2,325
region,London,E12000007,2021-04-17,18811,3345830,48399,1020100,5,323
region,London,E12000007,2021-04-16,19073,3327019,52423,971701,9,318
region,London,E12000007,2021-04-15,16571,3307946,48304,919278,11,309
region,London,E12000007,2021-04-14,21789,3291375,43577,870974,8,298
region,London,E12000007,2021-04-13,5443,3269586,30740,827397,4,290
region,London,E12000007,2021-04-12,4068,3264143,20429,796657,4,286
region,London,E12000007,2021-04-11,6557,3260075,17518,776228,2,282
region,London,E12000007,2021-04-10,11999,3253518,45745,758710,12,280
region,London,E12000007,2021-04-09,9655,3241519,47610,712965,8,268
region,London,E12000007,2021-04-08,8915,3231864,48671,665355,7,260
region,London,E12000007,2021-04-07,8366,3222949,49443,616684,10,253
region,London,E12000007,2021-04-06,9245,3214583,20911,567241,4,243
region,London,E12000007,2021-04-05,4085,3205338,2775,546330,1,239
region,London,E12000007,2021-04-04,3238,3201253,2350,543555,1,238
region,London,E12000007,2021-04-03,10633,3198015,14991,541205,4,237
region,London,E12000007,2021-04-02,8582,3187382,22564,526214,5,233
region,London,E12000007,2021-04-01,15442,3178800,57689,503650,13,228
region,London,E12000007,2021-03-31,28822,3163358,47410,445961,9,215
region,London,E12000007,2021-03-30,21336,3134536,32979,398551,11,206
region,London,E12000007,2021-03-29,23494,3113200,18890,365572,3,195
region,London,E12000007,2021-03-28,24725,3089706,7475,346682,0,192
region,London,E12000007,2021-03-27,45426,3064981,15095,339207,4,192
region,London,E12000007,2021-03-26,47848,3019555,24965,324112,3,188
region,London,E12000007,2021-03-25,38562,2971707,28414,299147,8,185
region,London,E12000007,2021-03-24,37639,2933145,29571,270733,10,177
region,London,E12000007,2021-03-23,33515,2895506,17578,241162,11,167
region,London,E12000007,2021-03-22,33433,2861991,7723,223584,5,156
region,London,E12000007,2021-03-21,33252,2828558,2658,215861,2,151
region,London,E12000007,2021-03-20,66122,2795306,6779,213203,2,149
region,London,E12000007,2021-03-19,65292,2729184,12788,206424,9,147
region,London,E12000007,2021-03-18,48243,2663892,15263,193636,7,138
region,London,E12000007,2021-03-17,48663,2615649,11863,178373,4,131
region,London,E12000007,2021-03-16,43550,2566986,9170,166510,3,127
region,London,E12000007,2021-03-15,39270,2523436,4609,157340,2,124
region,London,E12000007,2021-03-14,22071,2484166,2301,152731,2,122
region,London,E12000007,2021-03-13,42999,2462095,4840,150430,1,120
region,London,E12000007,2021-03-12,37691,2419096,8146,145590,15,119
region,London,E12000007,2021-03-11,23122,2381405,6422,137444,3,104
region,London,E12000007,2021-03-10,32687,2358283,7733,131022,6,101
region,London,E12000007,2021-03-09,29293,2325596,7421,123289,6,95
region,London,E12000007,2021-03-08,21725,2296303,3978,115868,3,89
region,London,E12000007,2021-03-07,18901,2274578,943,111890,0,86
region,London,E12000007,2021-03-06,47357,2255677,3475,110947,0,86
region,London,E12000007,2021-03-05,43343,2208320,6573,107472,3,86
region,London,E12000007,2021-03-04,38051,2164977,5971,100899,3,83
region,London,E12000007,2021-03-03,32664,2126926,6077,94928,1,80
region,London,E12000007,2021-03-02,29864,2094262,3823,88851,1,79
region,London,E12000007,2021-03-01,21542,2064398,1959,85028,3,78
region,London,E12000007,2021-02-28,23172,2042856,963,83069,0,75
region,London,E12000007,2021-02-27,50335,2019684,2360,82106,1,75
region,London,E12000007,2021-02-26,56053,1969349,2875,79746,1,74
region,London,E12000007,2021-02-25,57773,1913296,3057,76871,3,73
region,London,E12000007,2021-02-24,54643,1855523,2659,73814,5,70
region,London,E12000007,2021-02-23,46151,1800880,1384,71155,1,65
region,London,E12000007,2021-02-22,23745,1754729,762,69771,0,64
region,London,E12000007,2021-02-21,14824,1730984,127,69009,0,64
region,London,E12000007,2021-02-20,40970,1716160,261,68882,2,64
