area_name,area_code,date,cases,rolling_sum,rolling_rate,age_band,age_lower,age_higher,population
London,E12000007,2021-12-02,181,1203,201.9,0 - 4 years,0,4,595799
London,E12000007,2021-12-02,730,4741,781.9,5 - 9 years,5,9,606333
London,E12000007,2021-12-02,768,5544,1006.6,10 - 14 years,10,14,550753
London,E12000007,2021-12-02,435,2709,571,15 - 19 years,15,19,474456
London,E12000007,2021-12-02,303,1898,341,20 - 24 years,20,24,556594
London,E12000007,2021-12-02,507,2997,395.5,25 - 29 years,25,29,757848
London,E12000007,2021-12-02,585,3537,430.2,30 - 34 years,30,34,822084
London,E12000007,2021-12-02,655,3620,464.1,35 - 39 years,35,39,779934
London,E12000007,2021-12-02,713,4239,625.7,40 - 44 years,40,44,677463
London,E12000007,2021-12-02,517,3348,559.4,45 - 49 years,45,49,598535
London,E12000007,2021-12-02,321,2179,382.3,50 - 54 years,50,54,569938
London,E12000007,2021-12-02,214,1429,280.9,55 - 59 years,55,59,508722
London,E12000007,2021-12-02,115,798,196.8,60 - 64 years,60,64,405576
London,E12000007,2021-12-02,84,415,130.4,65 - 69 years,65,69,318142
London,E12000007,2021-12-02,41,229,81.7,70 - 74 years,70,74,280432
London,E12000007,2021-12-02,24,126,64.1,75 - 79 years,75,79,196419
London,E12000007,2021-12-02,13,104,68.9,80 - 84 years,80,84,150980
London,E12000007,2021-12-02,8,83,88.5,85 - 89 years,85,89,93808
London,E12000007,2021-12-02,5,49,83.5,90+ years,90,90,58672
London,E12000007,2021-12-02,2,14,0,unassigned,NA,NA,NA
London,E12000007,2021-12-01,224,1164,195.4,0 - 4 years,0,4,595799
London,E12000007,2021-12-01,771,4638,764.9,5 - 9 years,5,9,606333
London,E12000007,2021-12-01,931,5423,984.7,10 - 14 years,10,14,550753
London,E12000007,2021-12-01,448,2583,544.4,15 - 19 years,15,19,474456
London,E12000007,2021-12-01,379,1839,330.4,20 - 24 years,20,24,556594
London,E12000007,2021-12-01,532,2889,381.2,25 - 29 years,25,29,757848
London,E12000007,2021-12-01,603,3427,416.9,30 - 34 years,30,34,822084
London,E12000007,2021-12-01,641,3469,444.8,35 - 39 years,35,39,779934
London,E12000007,2021-12-01,755,4094,604.3,40 - 44 years,40,44,677463
London,E12000007,2021-12-01,600,3232,540,45 - 49 years,45,49,598535
London,E12000007,2021-12-01,378,2154,377.9,50 - 54 years,50,54,569938
London,E12000007,2021-12-01,254,1405,276.2,55 - 59 years,55,59,508722
London,E12000007,2021-12-01,133,817,201.4,60 - 64 years,60,64,405576
London,E12000007,2021-12-01,62,393,123.5,65 - 69 years,65,69,318142
London,E12000007,2021-12-01,42,223,79.5,70 - 74 years,70,74,280432
London,E12000007,2021-12-01,20,116,59.1,75 - 79 years,75,79,196419
London,E12000007,2021-12-01,16,99,65.6,80 - 84 years,80,84,150980
London,E12000007,2021-12-01,13,80,85.3,85 - 89 years,85,89,93808
London,E12000007,2021-12-01,10,49,83.5,90+ years,90,90,58672
London,E12000007,2021-12-01,3,14,0,unassigned,NA,NA,NA
London,E12000007,2021-11-30,171,1105,185.5,0 - 4 years,0,4,595799
London,E12000007,2021-11-30,854,4487,740,5 - 9 years,5,9,606333
London,E12000007,2021-11-30,961,5255,954.1,10 - 14 years,10,14,550753
London,E12000007,2021-11-30,476,2478,522.3,15 - 19 years,15,19,474456
London,E12000007,2021-11-30,351,1709,307,20 - 24 years,20,24,556594
London,E12000007,2021-11-30,534,2760,364.2,25 - 29 years,25,29,757848
London,E12000007,2021-11-30,591,3278,398.7,30 - 34 years,30,34,822084
London,E12000007,2021-11-30,597,3330,427,35 - 39 years,35,39,779934
London,E12000007,2021-11-30,668,3903,576.1,40 - 44 years,40,44,677463
London,E12000007,2021-11-30,569,3079,514.4,45 - 49 years,45,49,598535
London,E12000007,2021-11-30,355,2072,363.5,50 - 54 years,50,54,569938
London,E12000007,2021-11-30,219,1349,265.2,55 - 59 years,55,59,508722
London,E12000007,2021-11-30,135,815,200.9,60 - 64 years,60,64,405576
London,E12000007,2021-11-30,50,387,121.6,65 - 69 years,65,69,318142
London,E12000007,2021-11-30,28,204,72.7,70 - 74 years,70,74,280432
London,E12000007,2021-11-30,17,109,55.5,75 - 79 years,75,79,196419
London,E12000007,2021-11-30,22,103,68.2,80 - 84 years,80,84,150980
London,E12000007,2021-11-30,15,69,73.6,85 - 89 years,85,89,93808
London,E12000007,2021-11-30,8,45,76.7,90+ years,90,90,58672
London,E12000007,2021-11-30,2,14,0,unassigned,NA,NA,NA
London,E12000007,2021-11-29,225,1100,184.6,0 - 4 years,0,4,595799
London,E12000007,2021-11-29,791,4291,707.7,5 - 9 years,5,9,606333
London,E12000007,2021-11-29,982,5076,921.6,10 - 14 years,10,14,550753
London,E12000007,2021-11-29,454,2360,497.4,15 - 19 years,15,19,474456
London,E12000007,2021-11-29,331,1604,288.2,20 - 24 years,20,24,556594
London,E12000007,2021-11-29,488,2614,344.9,25 - 29 years,25,29,757848
London,E12000007,2021-11-29,606,3139,381.8,30 - 34 years,30,34,822084
London,E12000007,2021-11-29,597,3194,409.5,35 - 39 years,35,39,779934
London,E12000007,2021-11-29,705,3750,553.5,40 - 44 years,40,44,677463
London,E12000007,2021-11-29,544,2932,489.9,45 - 49 years,45,49,598535
London,E12000007,2021-11-29,391,1985,348.3,50 - 54 years,50,54,569938
London,E12000007,2021-11-29,233,1323,260.1,55 - 59 years,55,59,508722
London,E12000007,2021-11-29,127,790,194.8,60 - 64 years,60,64,405576
London,E12000007,2021-11-29,68,381,119.8,65 - 69 years,65,69,318142
London,E12000007,2021-11-29,31,210,74.9,70 - 74 years,70,74,280432
London,E12000007,2021-11-29,20,113,57.5,75 - 79 years,75,79,196419
London,E12000007,2021-11-29,16,93,61.6,80 - 84 years,80,84,150980
London,E12000007,2021-11-29,22,66,70.4,85 - 89 years,85,89,93808
London,E12000007,2021-11-29,5,45,76.7,90+ years,90,90,58672
London,E12000007,2021-11-29,5,16,0,unassigned,NA,NA,NA
London,E12000007,2021-11-28,146,1017,170.7,0 - 4 years,0,4,595799
London,E12000007,2021-11-28,516,4203,693.2,5 - 9 years,5,9,606333
London,E12000007,2021-11-28,662,4882,886.4,10 - 14 years,10,14,550753
London,E12000007,2021-11-28,320,2258,475.9,15 - 19 years,15,19,474456
London,E12000007,2021-11-28,176,1540,276.7,20 - 24 years,20,24,556594
London,E12000007,2021-11-28,313,2477,326.8,25 - 29 years,25,29,757848
London,E12000007,2021-11-28,382,2987,363.3,30 - 34 years,30,34,822084
London,E12000007,2021-11-28,340,3091,396.3,35 - 39 years,35,39,779934
London,E12000007,2021-11-28,436,3569,526.8,40 - 44 years,40,44,677463
London,E12000007,2021-11-28,365,2829,472.7,45 - 49 years,45,49,598535
London,E12000007,2021-11-28,243,1872,328.5,50 - 54 years,50,54,569938
London,E12000007,2021-11-28,151,1291,253.8,55 - 59 years,55,59,508722
London,E12000007,2021-11-28,94,782,192.8,60 - 64 years,60,64,405576
London,E12000007,2021-11-28,47,378,118.8,65 - 69 years,65,69,318142
London,E12000007,2021-11-28,32,213,76,70 - 74 years,70,74,280432
London,E12000007,2021-11-28,9,123,62.6,75 - 79 years,75,79,196419
London,E12000007,2021-11-28,14,92,60.9,80 - 84 years,80,84,150980
London,E12000007,2021-11-28,7,58,61.8,85 - 89 years,85,89,93808
London,E12000007,2021-11-28,2,43,73.3,90+ years,90,90,58672
London,E12000007,2021-11-28,1,16,0,unassigned,NA,NA,NA
London,E12000007,2021-11-27,112,980,164.5,0 - 4 years,0,4,595799
London,E12000007,2021-11-27,547,4162,686.4,5 - 9 years,5,9,606333
London,E12000007,2021-11-27,619,4806,872.6,10 - 14 years,10,14,550753
London,E12000007,2021-11-27,281,2194,462.4,15 - 19 years,15,19,474456
London,E12000007,2021-11-27,186,1528,274.5,20 - 24 years,20,24,556594
London,E12000007,2021-11-27,292,2415,318.7,25 - 29 years,25,29,757848
London,E12000007,2021-11-27,351,2912,354.2,30 - 34 years,30,34,822084
London,E12000007,2021-11-27,375,3073,394,35 - 39 years,35,39,779934
London,E12000007,2021-11-27,474,3554,524.6,40 - 44 years,40,44,677463
London,E12000007,2021-11-27,360,2772,463.1,45 - 49 years,45,49,598535
London,E12000007,2021-11-27,227,1842,323.2,50 - 54 years,50,54,569938
London,E12000007,2021-11-27,170,1273,250.2,55 - 59 years,55,59,508722
