City,week_ending,weekly_deaths ,total_deaths,Total_first_dose,Total_second_dose
London,2020-03-15,37,37,,
London,2020-03-22,235,272,,
London,2020-03-29,773,1045,,
London,2020-04-05,1326,2371,,
London,2020-04-12,1353,3728,,
London,2020-04-19,942,4670,,
London,2020-04-26,587,5257,,
London,2020-05-03,343,5603,,
London,2020-05-10,224,5827,,
London,2020-05-17,109,5936,,
London,2020-05-24,81,6017,,
London,2020-05-31,54,6071,,
London,2020-06-07,34,6105,,
London,2020-06-14,28,6133,,
London,2020-06-21,11,6144,,
London,2020-06-28,9,6153,,
London,2020-07-05,10,6163,,
London,2020-07-12,12,6175,,
London,2020-07-19,4,6179,,
London,2020-07-26,2,6181,,
London,2020-08-02,6,6187,,
London,2020-08-09,1,6188,,
London,2020-08-16,4,6192,,
London,2020-08-23,5,6197,,
London,2020-08-30,1,6198,,
London,2020-09-06,5,6203,,
London,2020-09-13,5,6208,,
London,2020-09-20,15,6223,,
London,2020-09-27,22,6245,,
London,2020-10-04,32,6277,,
London,2020-10-11,41,6318,,
London,2020-10-18,44,6362,,
London,2020-10-25,79,6441,,
London,2020-11-01,98,6539,,
London,2020-11-08,120,6659,,
London,2020-11-15,127,6786,,
London,2020-11-22,183,6969,,
London,2020-11-29,217,7186,,
London,2020-12-06,197,7383,,
London,2020-12-13,223,7606,6644,1182
London,2020-12-20,315,7921,62121,1214
London,2020-12-27,556,8477,87079,1243
London,2021-01-03,881,9358,129082,2397
London,2021-01-10,1229,10587,235063,46791
London,2021-01-17,1358,11945,423613,57074
London,2021-01-24,1244,13189,666783,59419
London,2021-01-31,839,14028,950958,61460
London,2021-02-07,594,14622,1201409,62951
London,2021-02-14,346,14968,1451108,64873
London,2021-02-21,266,15234,1730984,69009
London,2021-02-28,116,15350,2042856,83069
London,2021-03-07,90,15440,2274578,111890
London,2021-03-14,46,15486,2484166,152731
London,2021-03-21,28,15514,2828558,215861
London,2021-03-28,23,15537,3089706,346682
London,2021-04-04,14,15551,3201253,543555
London,2021-04-11,13,15564,3260075,776228
London,2021-04-18,8,15572,3357348,1045694
London,2021-04-25,9,15581,3466789,1303948
London,2021-05-02,10,15591,3581564,1532384
London,2021-05-09,7,15598,3705636,1782872
London,2021-05-16,5,15603,3886747,2032499
London,2021-05-23,3,15606,4097570,2300214
London,2021-05-30,7,15613,4329248,2558143
London,2021-06-06,6,15619,4540120,2795738
London,2021-06-13,9,15628,4760425,3024328
London,2021-06-20,11,15639,5010410,3221684
London,2021-06-27,11,15650,5227527,3401615
London,2021-07-04,16,15666,5364338,3577464
London,2021-07-11,13,15679,5455446,3743468
London,2021-07-18,23,15702,5517470,3932491
London,2021-07-25,48,15750,5561552,4128083
London,2021-08-01,62,15812,5599922,4313414
London,2021-08-08,66,15878,5635231,4487995
London,2021-08-15,74,15952,5672363,4671853
London,2021-08-22,87,16039,5718560,4846460
London,2021-08-29,87,16117,5760961,4989354
London,2021-09-05,81,16198,5792760,5097878
London,2021-09-12,82,16280,5816042,5182420
London,2021-09-19,65,16345,5838526,5246598
London,2021-09-26,69,16414,5862585,5295841
London,2021-10-03,89,16503,5888332,5332822
London,2021-10-10,65,16568,5921850,5365678
London,2021-10-17,54,16622,5965853,5397859
London,2021-10-24,64,16686,6011075,5427616
London,2021-10-31,83,16769,6048395,5454998
London,2021-11-07,87,16856,6086328,5480257
London,2021-11-14,83,16939,6115638,5507155
London,2021-11-21,53,16992,6141274,5532603
London,2021-11-28,72,17064,6164610,5564083
London,2021-12-05,76,17126,6190110,5599513
London,2021-12-12,48,17188,6213113,5630013
