areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
region,London,E12000007,2021-11-03,4674,6054437,3187,5457900
region,London,E12000007,2021-11-02,5642,6049763,3184,5454713
region,London,E12000007,2021-11-01,6313,6044121,3303,5451529
region,London,E12000007,2021-10-31,2505,6037808,1622,5448226
region,London,E12000007,2021-10-30,4970,6035303,4922,5446604
region,London,E12000007,2021-10-29,5556,6030333,3749,5441682
region,London,E12000007,2021-10-28,5839,6024777,3747,5437933
region,London,E12000007,2021-10-27,6092,6018938,3959,5434186
region,London,E12000007,2021-10-26,5440,6012846,3840,5430227
region,London,E12000007,2021-10-25,4706,6007406,3974,5426387
region,London,E12000007,2021-10-24,2605,6002700,2140,5422413
region,London,E12000007,2021-10-23,4929,6000095,5744,5420273
region,London,E12000007,2021-10-22,6866,5995166,4252,5414529
region,London,E12000007,2021-10-21,5818,5988300,3791,5410277
region,London,E12000007,2021-10-20,8309,5982482,4118,5406486
region,London,E12000007,2021-10-19,6900,5974173,4073,5402368
region,London,E12000007,2021-10-18,7120,5967273,4038,5398295
region,London,E12000007,2021-10-17,1436,5960153,2256,5394257
region,London,E12000007,2021-10-16,3824,5958717,6420,5392001
region,London,E12000007,2021-10-15,7524,5954893,4760,5385581
region,London,E12000007,2021-10-14,7733,5947369,4217,5380821
region,London,E12000007,2021-10-13,8632,5939636,4404,5376604
region,London,E12000007,2021-10-12,5747,5931004,3819,5372200
region,London,E12000007,2021-10-11,5090,5925257,4053,5368381
region,London,E12000007,2021-10-10,1415,5920167,2434,5364328
region,London,E12000007,2021-10-09,3466,5918752,5771,5361894
region,London,E12000007,2021-10-08,5272,5915286,4776,5356123
region,London,E12000007,2021-10-07,4535,5910014,3936,5351347
region,London,E12000007,2021-10-06,4578,5905479,4174,5347411
region,London,E12000007,2021-10-05,4953,5900901,4451,5343237
region,London,E12000007,2021-10-04,4662,5895948,4652,5338786
region,London,E12000007,2021-10-03,1704,5891286,2768,5334134
region,London,E12000007,2021-10-02,3734,5889582,6715,5331366
region,London,E12000007,2021-10-01,4397,5885848,5335,5324651
region,London,E12000007,2021-09-30,3963,5881451,5198,5319316
region,London,E12000007,2021-09-29,4145,5877488,5337,5314118
region,London,E12000007,2021-09-28,3796,5873343,5254,5308781
region,London,E12000007,2021-09-27,3359,5869547,5977,5303527
region,London,E12000007,2021-09-26,1498,5866188,3245,5297550
region,London,E12000007,2021-09-25,3744,5864690,8826,5294305
region,London,E12000007,2021-09-24,3734,5860946,6755,5285479
region,London,E12000007,2021-09-23,4235,5857212,7294,5278724
region,London,E12000007,2021-09-22,3614,5852977,7232,5271430
region,London,E12000007,2021-09-21,3534,5849363,7060,5264198
region,London,E12000007,2021-09-20,3487,5845829,8491,5257138
region,London,E12000007,2021-09-19,1848,5842342,4592,5248647
region,London,E12000007,2021-09-18,4250,5840494,11213,5244055
region,London,E12000007,2021-09-17,3489,5836244,9833,5232842
region,London,E12000007,2021-09-16,3205,5832755,9353,5223009
region,London,E12000007,2021-09-15,3276,5829550,9248,5213656
region,London,E12000007,2021-09-14,3118,5826274,9331,5204408
region,London,E12000007,2021-09-13,3168,5823156,10384,5195077
region,London,E12000007,2021-09-12,1811,5819988,5935,5184693
region,London,E12000007,2021-09-11,4225,5818177,14095,5178758
region,London,E12000007,2021-09-10,3514,5813952,12213,5164663
region,London,E12000007,2021-09-09,3495,5810438,12894,5152450
region,London,E12000007,2021-09-08,3274,5806943,12019,5139556
region,London,E12000007,2021-09-07,3273,5803669,12739,5127537
region,London,E12000007,2021-09-06,3492,5800396,14381,5114798
region,London,E12000007,2021-09-05,2372,5796904,9621,5100417
region,London,E12000007,2021-09-04,5388,5794532,19147,5090796
region,London,E12000007,2021-09-03,4788,5789144,16395,5071649
region,London,E12000007,2021-09-02,5176,5784356,16932,5055254
region,London,E12000007,2021-09-01,5391,5779180,16578,5038322
region,London,E12000007,2021-08-31,5803,5773789,19077,5021744
region,London,E12000007,2021-08-30,2651,5767986,10468,5002667
region,London,E12000007,2021-08-29,3178,5765335,11546,4992199
region,London,E12000007,2021-08-28,5736,5762157,20401,4980653
region,London,E12000007,2021-08-27,6032,5756421,20489,4960252
region,London,E12000007,2021-08-26,7063,5750389,22770,4939763
region,London,E12000007,2021-08-25,6494,5743326,22013,4916993
region,London,E12000007,2021-08-24,6833,5736832,21660,4894980
region,London,E12000007,2021-08-23,6691,5729999,23619,4873320
