area_name,area_code,date,cases,rolling_sum,rolling_rate,age_band,age_lower,age_higher,population
London,E12000007,2021-10-27,71,461,77.4,0 - 4 years,0,4,595799
London,E12000007,2021-10-27,243,1756,289.6,5 - 9 years,5,9,606333
London,E12000007,2021-10-27,438,3431,623,10 - 14 years,10,14,550753
London,E12000007,2021-10-27,257,1793,377.9,15 - 19 years,15,19,474456
London,E12000007,2021-10-27,185,1093,196.4,20 - 24 years,20,24,556594
London,E12000007,2021-10-27,301,1582,208.7,25 - 29 years,25,29,757848
London,E12000007,2021-10-27,284,1860,226.3,30 - 34 years,30,34,822084
London,E12000007,2021-10-27,338,2097,268.9,35 - 39 years,35,39,779934
London,E12000007,2021-10-27,402,2493,368,40 - 44 years,40,44,677463
London,E12000007,2021-10-27,308,2088,348.9,45 - 49 years,45,49,598535
London,E12000007,2021-10-27,246,1664,292,50 - 54 years,50,54,569938
London,E12000007,2021-10-27,217,1278,251.2,55 - 59 years,55,59,508722
London,E12000007,2021-10-27,127,806,198.7,60 - 64 years,60,64,405576
London,E12000007,2021-10-27,74,561,176.3,65 - 69 years,65,69,318142
London,E12000007,2021-10-27,49,407,145.1,70 - 74 years,70,74,280432
London,E12000007,2021-10-27,38,211,107.4,75 - 79 years,75,79,196419
London,E12000007,2021-10-27,17,128,84.8,80 - 84 years,80,84,150980
London,E12000007,2021-10-27,9,71,75.7,85 - 89 years,85,89,93808
London,E12000007,2021-10-27,13,50,85.2,90+ years,90,90,58672
London,E12000007,2021-10-27,1,10,0,unassigned,NA,NA,NA
London,E12000007,2021-10-26,51,470,78.9,0 - 4 years,0,4,595799
London,E12000007,2021-10-26,244,1877,309.6,5 - 9 years,5,9,606333
London,E12000007,2021-10-26,441,3810,691.8,10 - 14 years,10,14,550753
London,E12000007,2021-10-26,214,1907,401.9,15 - 19 years,15,19,474456
London,E12000007,2021-10-26,160,1086,195.1,20 - 24 years,20,24,556594
London,E12000007,2021-10-26,243,1539,203.1,25 - 29 years,25,29,757848
London,E12000007,2021-10-26,307,1856,225.8,30 - 34 years,30,34,822084
London,E12000007,2021-10-26,313,2098,269,35 - 39 years,35,39,779934
London,E12000007,2021-10-26,380,2495,368.3,40 - 44 years,40,44,677463
London,E12000007,2021-10-26,309,2146,358.5,45 - 49 years,45,49,598535
London,E12000007,2021-10-26,257,1690,296.5,50 - 54 years,50,54,569938
London,E12000007,2021-10-26,177,1251,245.9,55 - 59 years,55,59,508722
London,E12000007,2021-10-26,121,801,197.5,60 - 64 years,60,64,405576
London,E12000007,2021-10-26,69,577,181.4,65 - 69 years,65,69,318142
London,E12000007,2021-10-26,60,411,146.6,70 - 74 years,70,74,280432
London,E12000007,2021-10-26,25,212,107.9,75 - 79 years,75,79,196419
London,E12000007,2021-10-26,17,136,90.1,80 - 84 years,80,84,150980
London,E12000007,2021-10-26,8,75,80,85 - 89 years,85,89,93808
London,E12000007,2021-10-26,7,45,76.7,90+ years,90,90,58672
London,E12000007,2021-10-26,4,12,0,unassigned,NA,NA,NA
London,E12000007,2021-10-25,75,511,85.8,0 - 4 years,0,4,595799
London,E12000007,2021-10-25,275,1999,329.7,5 - 9 years,5,9,606333
London,E12000007,2021-10-25,513,4172,757.5,10 - 14 years,10,14,550753
London,E12000007,2021-10-25,283,2126,448.1,15 - 19 years,15,19,474456
London,E12000007,2021-10-25,179,1109,199.2,20 - 24 years,20,24,556594
London,E12000007,2021-10-25,259,1590,209.8,25 - 29 years,25,29,757848
London,E12000007,2021-10-25,318,1822,221.6,30 - 34 years,30,34,822084
