area_name,area_code,age,age_lower,age_higher,week_ending,weekly_admissions,weekly_rate
London,E40000003,0 - 5 years,0,5,2021-10-30,17,2.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-10-23,20,2.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-10-16,15,2.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-10-09,12,1.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-10-02,14,1.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-09-25,7,1
London,E40000003,0 - 5 years,0,5,2021-09-18,15,2.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-09-11,18,2.5
London,E40000003,0 - 5 years,0,5,2021-09-04,27,3.8000000000000114
London,E40000003,0 - 5 years,0,5,2021-08-28,34,4.699999999999989
London,E40000003,0 - 5 years,0,5,2021-08-21,22,3.1000000000000227
London,E40000003,0 - 5 years,0,5,2021-08-14,27,3.6999999999999886
London,E40000003,0 - 5 years,0,5,2021-08-07,29,4.099999999999994
London,E40000003,0 - 5 years,0,5,2021-07-31,21,2.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-07-24,24,3.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-07-17,29,4
London,E40000003,0 - 5 years,0,5,2021-07-10,18,2.5
London,E40000003,0 - 5 years,0,5,2021-07-03,9,1.2999999999999972
London,E40000003,0 - 5 years,0,5,2021-06-26,8,1.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-06-19,13,1.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-06-12,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-06-05,6,0.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-05-29,3,0.5
London,E40000003,0 - 5 years,0,5,2021-05-22,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-05-15,6,0.7999999999999972
London,E40000003,0 - 5 years,0,5,2021-05-08,1,0.10000000000000853
London,E40000003,0 - 5 years,0,5,2021-05-01,5,0.7000000000000028
London,E40000003,0 - 5 years,0,5,2021-04-24,0,0
London,E40000003,0 - 5 years,0,5,2021-04-17,6,0.8999999999999915
London,E40000003,0 - 5 years,0,5,2021-04-10,3,0.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-04-03,3,0.3999999999999915
London,E40000003,0 - 5 years,0,5,2021-03-27,3,0.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-03-20,4,0.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-03-13,7,1
London,E40000003,0 - 5 years,0,5,2021-03-06,10,1.4000000000000057
London,E40000003,0 - 5 years,0,5,2021-02-27,12,1.5999999999999943
London,E40000003,0 - 5 years,0,5,2021-02-20,15,2.1000000000000085
London,E40000003,0 - 5 years,0,5,2021-02-13,22,3.0999999999999943
London,E40000003,0 - 5 years,0,5,2021-02-06,14,1.9000000000000057
London,E40000003,0 - 5 years,0,5,2021-01-30,32,4.5
London,E40000003,0 - 5 years,0,5,2021-01-23,41,5.700000000000003
London,E40000003,0 - 5 years,0,5,2021-01-16,50,7
London,E40000003,0 - 5 years,0,5,2021-01-09,66,9.199999999999989
London,E40000003,0 - 5 years,0,5,2021-01-02,66,9.200000000000003
London,E40000003,0 - 5 years,0,5,2020-12-26,49,6.900000000000006
London,E40000003,0 - 5 years,0,5,2020-12-19,27,3.6999999999999957
London,E40000003,0 - 5 years,0,5,2020-12-12,15,2.1000000000000014
London,E40000003,0 - 5 years,0,5,2020-12-05,12,1.7000000000000028
London,E40000003,0 - 5 years,0,5,2020-11-28,7,1
London,E40000003,0 - 5 years,0,5,2020-11-21,11,1.5
London,E40000003,0 - 5 years,0,5,2020-11-14,12,1.6999999999999957
London,E40000003,0 - 5 years,0,5,2020-11-07,11,1.5
London,E40000003,0 - 5 years,0,5,2020-10-31,18,2.5
London,E40000003,0 - 5 years,0,5,2020-10-24,8,1.1000000000000014
London,E40000003,0 - 5 years,0,5,2020-10-17,11,1.6000000000000014
London,E40000003,0 - 5 years,0,5,2020-10-10,7,1
London,E40000003,0 - 5 years,0,5,2020-10-03,3,0.3999999999999986
London,E40000003,0 - 5 years,0,5,2020-09-26,6,0.7999999999999972
London,E40000003,0 - 5 years,0,5,2020-09-19,3,0.4000000000000057
